EFG,EFG_Code,EFG_Name,EFG_PixelValue,HexCode,RGB
M3.1 Continental and island slopes,,Continental and island slopes,143,#1B7693,"27,118,147"
M3.2 Submarine canyons,,Submarine canyons,144,#2192B5,"33,146,181"
M3.3 Abyssal plains,,Abyssal plains,145,#27AED8,"39,174,216"
"M3.4 Seamounts, ridges and plateaus",,"Seamounts, ridges and plateaus",146,#52BEE0,"82,190,224"
M3.5 Deepwater biogenic beds,,Deepwater biogenic beds,147,#9CDAED,"156,218,237"
M3.6 Hadal trenches and troughs,,Hadal trenches and troughs,148,#A8EAFF,"168,234,255"
M3.7 Chemosynthetic-based-ecosystems (CBE),,Chemosynthetic-based-ecosystems (CBE),149,#DBF7FF,"219,247,255"
M4.1 Submerged artificial structures,,Submerged artificial structures,154,#994A8E,"153,74,142"
M4.2 Marine aquafarms,,Marine aquafarms,155,#7B2E72,"123,46,114"
MT1.1 Rocky shorelines,,Rocky shorelines,157,#8782D2,"135,130,210"
MT1.2 Muddy shorelines,,Muddy shorelines,158,#A49EF0,"164,158,240"
MT1.3 Sandy shorelines,,Sandy shorelines,159,#C2BAFF,"194,186,255"
MT1.4 Boulder and cobble shores,,Boulder and cobble shores,160,#E0D7FF,"224,215,255"
MT2.1 Coastal shrublands and grasslands,,Coastal shrublands and grasslands,163,#726BDA,"114,107,218"
MT2.2 Large seabird and pinniped colonies,,Large seabird and pinniped colonies,164,#5651A6,"86,81,166"
MT3.1 Artificial shorelines,,Artificial shorelines,166,#CEC9FF,"206,201,255"
MFT1.1 Coastal river deltas,,Coastal river deltas,168,#AC676D,"172,103,109"
MFT1.2 Intertidal forests and shrublands,,Intertidal forests and shrublands,169,#89474E,"137,71,78"
MFT1.3 Coastal saltmarshes and reedbeds,,Coastal saltmarshes and reedbeds,170,#672931,"103,41,49"
NA No Data,,No Data,255,#FFFFFF,"255,255,255"
